"","income","sex","eth","fedu","parocc"
"322",11156.3837326284,1,1,1,1010
"323",6009.65353262842,1,1,1,910
"324",20468.6657326284,1,1,1,1010
"325",10184.0840659618,2,1,12,108
"326",27105.6077326284,1,1,1,1010
"327",7190.63643262842,1,1,9,98
"328",5773.06173262842,1,1,1,1010
"329",3788.62053262842,2,2,3,107
"330",2361.45063262842,2,1,4,910
"331",1950.65503262842,1,1,1,1010
"332",3183.00823262842,1,1,1,99
"333",2482.59583262842,1,1,1,1010
"334",6950.40883262842,1,1,6,107
"335",15384.3737326284,1,2,1,1010
"336",18982.0313992951,1,4,11,109
"337",3030.43643262842,1,1,1,109
"338",3814.80633262842,1,1,7,109
"339",8634.75403262842,1,1,9,92
"340",5037.39373262842,2,1,12,88
"341",4725.20033262842,1,1,1,1010
"342",2611.20553262842,2,3,1,109
"343",6412.95423262842,2,1,1,1010
"344",5065.15593262842,1,1,1,1010
"345",2068.88083262842,2,1,1,109
"346",7106.79023262842,2,1,1,107
"347",3833.21943262842,1,1,1,107
"348",3788.62053262842,2,1,1,910
"349",6286.16763262842,2,1,9,108
"350",14206.9587326284,2,1,1,1010
"351",18227.2017326284,1,3,7,97
"352",15116.7807326284,1,1,1,107
"353",11490.9307326284,2,1,11,58
"354",3342.62983262842,2,1,9,98
"355",26444.9397326284,1,1,1,910
"356",1915.46013262842,1,1,9,98
"357",1623.11523262842,2,1,1,1010
"358",6286.16763262842,1,1,1,109
"359",648.84697262842,1,1,1,93
"360",1719.22433262842,1,1,7,107
"361",831.09550262842,1,1,1,1010
"362",14630.1133992951,2,4,10,109
"363",845.08281262842,1,1,1,105
"364",3610.22433262842,1,1,1,95
"365",1870.86113262842,2,1,1,910
"366",7610.71253262842,1,1,1,109
"367",6785.67693262842,2,1,1,108
"368",9301.06363262842,1,1,1,910
"369",10210.8837326284,2,1,1,109
"370",4234.61103262842,1,3,8,910
"371",2039.86983262842,1,1,1,1010
"372",5883.56953262842,1,1,1,1010
"373",1850.05383262842,1,1,1,1010
"374",4328.15003262842,2,1,8,1010
"375",1175.11573262842,1,1,1,1010
"376",1425.83273262842,1,2,1,99
"377",3521.02603262842,1,1,1,98
"378",16518.9627326284,1,1,11,1010
"379",3663.32313262842,1,1,12,1010
"380",4116.45423262842,1,1,9,95
"381",4524.50503262842,1,1,1,109
"382",2807.44133262842,2,1,1,1010
"383",3431.82803262842,2,1,1,1010
"384",2450.64883262842,2,1,1,108
"385",916.44133262842,1,1,3,108
"386",2588.26553262842,2,1,1,109
"387",2039.51823262842,1,1,1,108
"388",18506.3087326284,2,3,11,109
"389",5108.75263262842,1,1,1,1010
"390",5786.65793262842,1,1,1,108
"391",2700.40353262842,1,1,1,1010
"392",1915.46013262842,1,1,1,98
"393",8587.47873262842,1,3,1,27
"394",14768.4267326284,1,4,11,23
"395",1993.60843262842,2,1,1,1010
"396",3647.91033262842,2,1,4,1010
"397",9220.78533262842,1,1,1,105
"398",11771.8507326284,1,1,9,28
"399",13752.0487326284,1,1,1,910
"400",827.24321262842,1,1,1,1010
"401",4502.20523262842,1,1,4,1010
"402",18697.3087326284,2,3,1,109
"403",17346.7327326284,1,1,8,98
"404",3967.01653262842,1,1,1,910
"405",4181.29753262842,2,3,1,1010
"406",1166.19593262842,1,1,8,1010
"407",1388.31543262842,1,1,8,1010
"408",21564.2907326284,2,3,9,97
"409",6412.95423262842,1,1,10,1010
"410",3521.02603262842,1,1,1,1010
"411",6214.80873262842,1,1,1,95
"412",7980.11543262842,1,1,1,107
"413",8999.08613262842,2,1,1,109
"414",755.88469262842,1,1,8,110
"415",17792.7227326284,1,1,10,910
"416",1549.74783262842,1,1,1,93
"417",9550.81853262842,1,1,4,1010
"418",4286.55973262842,1,1,2,109
"419",2548.76673262842,2,3,5,910
"420",23867.1157326284,2,1,1,99
"421",15830.3657326284,2,1,1,1010
"422",3852.04163262842,1,1,1,1010
"423",8180.96693262842,2,1,1,49
"424",21093.0527326284,1,1,1,1010
"425",5108.24043262842,1,1,1,103
"426",1291.07343262842,2,1,1,108
"427",2807.44133262842,1,3,1,107
"428",23247.8987326284,2,4,1,109
"429",2882.37493262842,2,1,1,109
"430",2600.26043262842,1,1,1,910
"431",18340.4867326284,2,3,10,27
"432",1924.37993262842,1,1,1,107
"433",4011.61563262842,1,1,9,25
"434",11203.4577326284,2,1,1,1010
"435",5840.17693262842,2,3,1,97
"436",7465.31953262842,1,1,7,1010
"437",3137.47433262842,1,1,7,1010
"438",2307.48673262842,1,1,6,1010
"439",15866.0437326284,2,1,10,1010
"440",3117.85463262842,2,1,1,1010
"441",666.68663262842,1,1,1,97
"442",2361.45063262842,1,1,1,98
"443",4500.42153262842,1,1,1,99
"444",3060.93623262842,2,3,4,99
"445",5178.32683262842,1,1,1,1010
"446",18227.2017326284,2,3,4,107
"447",2816.60413262842,1,1,5,1010
"448",7788.11103262842,2,1,1,108
"449",28496.4967326284,1,4,1,1010
"450",4234.61103262842,1,1,1,1010
"451",2181.98703262842,1,1,1,1010
"452",2093.85633262842,1,1,1,97
"453",2629.04513262842,2,1,1,1010
"454",8293.12513262842,1,1,1,510
"455",4136.49283262842,2,1,1,1010
"456",3778.23183262842,1,1,1,1010
"457",755.88469262842,2,1,1,1010
"458",11308.0207326284,1,1,11,97
"459",2004.65813262842,1,1,1,1010
"460",1469.46953262842,2,1,9,108
"461",6214.80873262842,1,2,9,106
"462",6107.77113262842,1,1,11,98
"463",2807.44133262842,1,1,5,109
"464",4925.89613262842,1,1,3,105
"465",3301.59323262842,1,1,1,109
"466",6948.31023262842,1,1,1,1010
"467",19576.6857326284,1,3,1,99
"468",4413.00703262842,1,1,5,108
"469",8337.72383262842,1,1,1,1010
"470",6375.36543262842,1,1,1,109
"471",7953.27993262842,1,1,1,910
"472",1059.15823262842,1,1,1,109
"473",2084.93643262842,1,1,1,310
"474",5929.37513262842,2,1,1,510
"475",5251.46943262842,1,1,10,1010
"476",3106.25483262842,1,1,1,109
